                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.77753,                 1.0303,                0.88359,                0.90081,                0.73668,                  0.995,                0.65696,                 1.3755,                 1.3965,                 1.0991,             0.00051988,             0.00051988,             0.00051988
                     61,                0.82954,                0.98051,                0.93093,                0.89377,                 0.7395,                  0.995,                0.66935,                 1.4286,                 1.3586,                 1.1235,              0.0005075,              0.0005075,              0.0005075
                     62,                0.86152,                 1.0027,                0.91074,                 0.6816,                      1,                  0.995,                0.65483,                 1.4641,                 1.3025,                 1.1323,             0.00049513,             0.00049513,             0.00049513
                     63,                0.89062,                 1.0847,                0.89523,                0.80662,                 0.9994,                  0.995,                0.67049,                 1.4603,                 1.2982,                 1.1363,             0.00048275,             0.00048275,             0.00048275
                     64,                0.81743,                0.93925,                0.91045,                0.77061,                 0.9711,                0.97437,                0.64912,                 1.3947,                 1.2784,                  1.112,             0.00047038,             0.00047038,             0.00047038
                     65,                0.81153,                0.98406,                 0.9026,                0.76804,                0.91667,                  0.962,                0.66286,                 1.3108,                 1.3365,                 1.1008,               0.000458,               0.000458,               0.000458
                     66,                0.69478,                 0.9122,                0.84876,                0.73592,                0.83333,                 0.9345,                0.64318,                 1.2896,                 1.3737,                 1.0912,             0.00044563,             0.00044563,             0.00044563
                     67,                0.67583,                0.99824,                0.82796,                0.75523,                      1,                0.97437,                0.64718,                 1.3277,                 1.3236,                 1.0839,             0.00043325,             0.00043325,             0.00043325
                     68,                0.73564,                0.91437,                0.87705,                0.67685,                      1,                  0.995,                0.64342,                 1.3749,                 1.3106,                 1.0795,             0.00042087,             0.00042087,             0.00042087
                     69,                0.81481,                0.95961,                0.92871,                 0.5799,                      1,                  0.995,                 0.6549,                 1.4355,                 1.2919,                 1.0901,              0.0004085,              0.0004085,              0.0004085
                     70,                0.82147,                0.91617,                0.85936,                 0.9105,                0.73334,                  0.995,                0.61541,                  1.454,                 1.2785,                 1.1019,             0.00039613,             0.00039613,             0.00039613
                     71,                0.71726,                 0.9959,                0.87213,                0.91119,                 0.7152,                  0.995,                0.63005,                 1.4296,                 1.2439,                 1.1057,             0.00038375,             0.00038375,             0.00038375
                     72,                0.74093,                0.82899,                0.84434,                  0.902,                0.71292,                  0.995,                0.63553,                 1.3735,                 1.1732,                  1.099,             0.00037138,             0.00037138,             0.00037138
                     73,                0.80233,                0.91548,                0.87528,                0.92073,                0.69697,                  0.995,                0.68806,                 1.3173,                 1.1525,                 1.0727,               0.000359,               0.000359,               0.000359
                     74,                0.73326,                0.86286,                0.86106,                0.70714,                      1,                  0.995,                0.68862,                  1.282,                 1.1527,                 1.0674,             0.00034663,             0.00034663,             0.00034663
                     75,                0.76634,                 0.8477,                0.86293,                0.62372,                      1,                  0.995,                0.70311,                 1.3038,                 1.1518,                 1.0798,             0.00033425,             0.00033425,             0.00033425
                     76,                0.70439,                 0.8992,                0.85819,                0.61759,                      1,                  0.995,                0.70014,                 1.3505,                 1.1698,                 1.1113,             0.00032188,             0.00032188,             0.00032188
                     77,                0.83662,                0.99914,                0.90214,                0.59768,                      1,                  0.995,                0.70217,                 1.3914,                 1.1831,                 1.1298,              0.0003095,              0.0003095,              0.0003095
                     78,                0.71227,                0.85474,                0.88654,                0.61268,                      1,                  0.995,                0.70002,                 1.3997,                 1.1844,                 1.1392,             0.00029713,             0.00029713,             0.00029713
                     79,                0.74073,                0.81861,                0.86663,                0.62482,                      1,                  0.995,                0.70282,                 1.3881,                 1.1705,                 1.1359,             0.00028475,             0.00028475,             0.00028475
                     80,                0.64094,                0.82193,                0.84773,                0.64349,                      1,                  0.995,                0.70367,                 1.3628,                 1.1369,                 1.1242,             0.00027237,             0.00027237,             0.00027237
                     81,                0.46566,                 2.4308,                0.63745,                0.65702,                      1,                  0.995,                0.71711,                 1.3397,                 1.1024,                 1.1126,                0.00026,                0.00026,                0.00026
                     82,                0.72958,                0.83182,                0.86211,                0.65121,                      1,                  0.995,                0.70006,                 1.3515,                 1.0767,                 1.1201,             0.00024762,             0.00024762,             0.00024762
                     83,                0.70714,                0.85255,                0.87194,                0.65584,                      1,                  0.995,                0.69443,                 1.3783,                   1.08,                 1.1407,             0.00023525,             0.00023525,             0.00023525
                     84,                 0.6817,                0.76944,                0.84602,                0.66389,                      1,                  0.995,                0.69188,                 1.3941,                  1.112,                 1.1546,             0.00022288,             0.00022288,             0.00022288
                     85,                0.71033,                0.82745,                 0.8824,                0.66578,                      1,                  0.995,                0.68592,                 1.3992,                 1.1099,                 1.1571,              0.0002105,              0.0002105,              0.0002105
                     86,                0.71068,                0.75006,                0.85469,                0.62413,                      1,                  0.995,                0.68593,                 1.3999,                 1.1299,                 1.1635,             0.00019813,             0.00019813,             0.00019813
